blue_average_level,blue_total_gold,blue_totalDamageDoneToChampions,blue_totalDamageDone,blue_minionsKilled,blue_timeEnemySpentControlled,blue_jungleMinionsKilled,blue_currentGold,blue_first_blood,blue_champions_killed,red_average_level,red_total_gold,red_totalDamageDoneToChampions,red_totalDamageDone,red_minionsKilled,red_timeEnemySpentControlled,red_jungleMinionsKilled,red_currentGold,red_first_blood,red_champions_killed,blue_win
6.8,15182,11170,138799,185,162456,64,2242,1,4,7.0,18262,14392,146337,199,238168,66,3847,0,9,1
7.2,18146,12727,130005,202,540895,60,3106,1,10,7.0,14937,13116,135321,202,662193,64,1192,0,2,0
6.8,15604,15603,121729,179,359935,52,2964,0,7,7.2,19842,19428,138545,197,403276,56,3927,1,15,1
6.6,14858,10622,134117,213,307057,60,1363,0,2,7.2,20792,16282,170577,240,388324,72,5347,1,12,1
7.2,23473,26639,139211,174,495107,24,4489,1,22,6.2,12136,10000,48851,106,212986,0,2666,0,4,0
7.0,15493,13540,123126,191,422923,69,3723,0,5,7.2,17039,14247,133383,227,363532,48,1564,1,6,1
11.8,39833,66051,125885,103,570193,0,4663,0,32,11.4,39259,61538,111299,94,929957,0,5084,1,33,1
7.0,16675,16879,132442,200,325077,56,3795,1,7,7.0,17134,17302,126192,200,584452,55,2499,0,9,0
6.8,15796,12928,110446,214,404030,46,4066,0,7,7.0,16931,12809,110764,187,593901,37,5086,1,9,1
7.0,13231,7845,103438,179,163499,68,2131,0,1,7.0,17008,10867,126404,271,97716,44,4598,1,4,1
7.0,16458,12534,127640,223,207915,52,1673,1,6,7.0,16328,11988,120136,208,512167,56,2053,0,6,1
6.8,16129,14158,130894,190,320396,56,4159,0,6,7.0,18245,12746,133338,215,388011,43,3030,1,9,0
7.0,17734,13038,114758,227,269266,50,1744,1,11,7.0,16143,11174,121068,212,133893,54,4383,0,5,1
7.2,18279,15821,127833,214,580259,51,6004,1,8,7.0,14823,15758,139889,208,181165,64,1433,0,3,0
7.0,16542,11552,138726,218,324053,52,3387,0,7,6.8,15350,11244,124820,207,237586,52,3690,1,3,1
6.6,13952,9271,124819,204,354877,48,2652,0,1,6.6,15488,11644,115293,200,324489,52,5798,1,4,1
6.6,16044,11752,118190,215,202996,40,1114,1,5,6.8,16259,11439,116971,212,311814,48,2419,0,6,0
6.6,16852,17392,117283,176,435174,44,3107,0,8,7.4,19189,23270,134387,177,353886,56,3333,1,15,1
7.2,22141,19211,151138,243,287732,52,6101,1,14,6.2,13827,13764,106736,190,305534,48,1547,0,2,0
7.6,20991,19180,145658,219,1101840,64,2851,1,13,6.8,17795,17057,129034,202,300272,48,2480,0,9,0
6.8,16078,12306,126293,212,510315,44,2813,0,5,6.6,16239,13108,117375,232,359680,52,3019,1,6,1
6.8,17365,20277,124878,213,372950,36,770,0,9,6.8,17477,15692,110328,191,293274,45,2122,1,10,1
6.8,17996,16397,109179,185,397257,49,4201,0,11,7.0,19075,15988,131937,191,383409,66,5555,1,12,0
7.2,17372,14467,140368,227,1026012,64,4527,1,7,6.8,16352,16188,128494,205,389048,40,1382,0,7,1
7.0,15809,11528,125368,217,306829,52,4824,1,4,6.6,13423,9687,98060,153,271274,48,3003,0,2,0
6.6,18302,19432,104871,163,527095,36,2657,1,12,6.8,15989,18191,98138,159,198519,48,1709,0,7,1
9.2,33455,27103,158813,221,525167,12,3730,1,14,9.8,38926,36215,156858,193,480734,12,4008,0,21,1
6.8,14856,8321,102915,204,263595,52,3056,0,3,6.6,18093,16180,132730,208,559123,51,3148,1,9,1
6.8,14337,6897,123153,243,178046,50,1267,0,1,7.2,16708,14279,126698,231,306515,40,3908,1,7,1
6.8,18187,17166,125274,199,474720,48,2802,1,10,7.0,17275,12961,99269,196,232270,27,3550,0,8,0
6.6,15945,13112,113564,200,262203,40,6445,0,7,7.0,15784,12991,132487,180,646524,64,1619,1,8,0
6.8,17520,16391,112681,166,338184,56,6465,1,11,6.0,14229,14107,94249,146,524342,40,1814,0,7,1
6.6,17106,18765,111765,193,539873,42,3871,0,9,6.8,18064,20796,135733,233,210428,44,3949,1,10,1
7.2,17108,13501,130146,245,351718,54,6248,0,5,7.0,17413,15386,140435,208,290296,61,4183,1,8,1
6.4,15878,13542,106701,192,407535,46,2543,1,5,7.0,16383,14291,123559,234,302601,32,4043,0,5,1
6.8,18436,15028,128939,179,1114830,64,2661,0,9,7.0,18255,15355,143930,229,333452,48,1640,1,8,1
6.4,15676,13652,142867,202,259424,52,2796,0,6,7.2,18173,16251,140965,226,428106,56,3273,1,9,1
6.6,16082,10116,102271,219,157788,36,2547,1,5,6.6,16286,14769,101493,196,371484,44,3031,0,7,1
7.4,21352,18195,154950,211,348565,68,2982,1,12,7.0,18584,13836,120163,210,294665,52,2894,0,11,0
6.8,15199,12769,117899,229,348901,55,2409,0,5,7.0,17007,13535,123068,232,473975,44,1052,1,7,1
6.4,18655,18169,132321,171,528754,49,3520,0,12,7.0,20668,20510,151120,209,285145,55,3478,1,14,0
7.2,19148,15063,122761,251,195861,42,4428,1,10,6.6,14042,11167,120268,215,205130,50,1882,0,1,0
6.8,18140,13494,124295,180,225044,65,5605,1,9,6.8,15435,7879,120310,252,243619,55,2500,0,2,0
7.0,14278,9463,138534,220,409120,68,2773,1,1,7.4,17213,13218,146771,257,357635,68,1678,0,4,1
6.6,18007,15287,102684,192,314338,44,4482,1,14,5.8,11693,7063,76495,162,216483,32,2848,0,2,0
7.4,19503,18306,140089,205,236093,53,3768,1,12,6.8,17873,19843,129381,217,307436,50,1463,0,7,1
7.0,14267,10204,131642,192,864492,68,3482,1,2,7.0,13709,7399,103889,197,229046,56,5004,0,2,0
7.0,20415,21305,127178,215,508249,40,3480,1,14,7.0,14459,11605,112685,181,270481,59,1789,0,3,0
6.8,17446,12009,116048,228,195509,44,2841,1,6,7.2,15715,12824,134233,236,374841,52,3190,0,2,0
6.8,18403,15491,118411,229,182768,45,4168,1,11,7.2,16426,17306,122145,184,225582,58,3826,0,8,0
6.6,16517,16496,118167,183,458017,55,5407,0,7,7.0,18276,14897,113831,216,416614,41,3331,1,11,1
7.0,14480,10014,121941,216,279028,60,3925,0,2,6.6,14511,10064,118097,228,107976,48,3391,1,3,0
6.8,17631,15572,138657,177,499028,70,3756,1,12,6.8,16723,12657,123247,192,309439,52,2508,0,8,1
6.8,17876,18400,108685,212,254332,34,5490,1,10,6.8,18128,18356,131597,181,453219,57,4473,0,10,0
6.8,13520,13172,119536,196,420263,44,2295,0,2,7.2,18217,13440,122302,211,268315,60,1457,1,10,1
7.0,18035,16361,142302,225,624081,60,2680,1,7,7.0,17165,14198,130901,222,180143,48,3350,0,8,1
7.2,17004,14438,133127,216,658937,52,3104,0,7,6.6,15922,14391,111655,200,333190,48,2042,1,5,0
7.0,17614,10537,142158,234,256225,60,3324,1,6,7.0,14325,10119,139213,212,205590,68,4600,0,2,0
6.8,15380,12318,132481,209,166874,56,3830,0,3,7.0,17115,10000,144124,268,302189,56,1255,1,5,1
1.4,3149,133,9127,16,31607,8,649,0,0,1.2,2978,267,5027,8,4754,4,978,0,0,0
7.6,23757,34354,177232,189,715216,60,7452,1,24,6.2,10901,9011,42280,65,415201,0,1666,0,3,0
6.8,18736,17910,136488,231,613968,52,2156,1,9,7.0,15845,10649,105031,222,429161,44,3094,0,4,0
6.4,16915,16487,112840,188,448377,32,1140,1,10,6.8,18205,21546,120495,187,445618,57,4500,0,10,0
6.8,17148,16086,117468,205,332079,40,2473,1,9,7.0,18748,14701,125872,205,398533,49,2873,0,10,1
7.0,17283,10873,117950,181,305882,53,3008,0,8,7.0,17112,11048,133560,256,374039,56,2097,1,4,1
